WoS Source UT,WoS Cited Reference UT,Cited Author,Times Cited,Pub Year,Volume,Page,Cited Work,Cited Title,DOI
WOS:000361949000001,WOS:A1994NN25300009,"BURGESS, JF",78,1994,39,95,SOCIAL SCIENCE & MEDICINE,THE EFFECT OF DISTANCE TO VA FACILITIES ON THE CHOICE AND LEVEL OF UTILIZATION OF VA OUTPATIENT SERVICES,10.1016/0277-9536(94)90169-4
WOS:000361949000001,000300315700001.35,"Zdeb, M",2,2010,,,Driving Distances and Times Using SAS&REG;and Google Maps,,
WOS:000361949000001,000361949000001.22,"Welniak, E",1,1000,,,Household income: 1999. Census 2000 brief,,
WOS:000361949000001,000360836000001.1,,4,1000,,,"Comorbidity software, version 3.7",,
WOS:000361949000001,000361949000001.2,,2,2008,,,Veterans rural health: perspectives and opportunities,,
WOS:000369635200017,WOS:000289404700004,"Bratzler, Dale W.",107,2011,6,,PLOS ONE,An Administrative Claims Model for Profiling Hospital 30-Day Mortality Rates for Pneumonia Patients,10.1371/journal.pone.0017401
WOS:000369635200017,WOS:000358581700017,"Krumholz, Harlan M.",112,2015,314,355,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"Mortality, Hospitalizations, and Expenditures for the Medicare Population Aged 65 Years or Older, 1999-2013",10.1001/jama.2015.8035
WOS:000369635200017,WOS:000348145400004,"Jones, Linda G.",9,2015,8,17,CIRCULATION-HEART FAILURE,Characteristics and Outcomes of Patients With Advanced Chronic Systolic Heart Failure Receiving Care at the Veterans Affairs Versus Other Hospitals Insights From the Beta-blocker Evaluation of Survival Trial (BEST),10.1161/CIRCHEARTFAILURE.114.001300
WOS:000369635200017,MEDLINE:24753966,"Gerhardt, Geoffrey",75,2013,3,,Medicare & medicaid research review,Medicare readmission rates showed meaningful decline in 2012.,10.5600/mmrr.003.02.b01
WOS:000369635200017,WOS:000307498200011,"Ross, Joseph S.",46,2012,31,1739,HEALTH AFFAIRS,"Based On Key Measures, Care Quality For Medicare Enrollees At Safety-Net And Non-Safety-Net Hospitals Was Almost Equal",10.1377/hlthaff.2011.1028
WOS:000369635200017,WOS:000308544500016,"Keyhani, Salomeh",10,2012,5,508,CIRCULATION-CARDIOVASCULAR QUALITY AND OUTCOMES,Does the Inclusion of Stroke Severity in a 30-Day Mortality Model Change Standardized Mortality Rates at Veterans Affairs Hospitals?,10.1161/CIRCOUTCOMES.111.962936
WOS:000369635200017,WOS:000290563600007,"Trivedi, Amal N.",46,2011,49,560,MEDICAL CARE,Quality and Equity of Care in the Veterans Affairs Health-Care System and in Medicare Advantage Health Plans,10.1097/MLR.0b013e31820fb0f6
WOS:000369635200017,WOS:000288462200007,"Lindenauer, Peter K.",125,2011,6,142,JOURNAL OF HOSPITAL MEDICINE,"Development, Validation, and Results of a Measure of 30-Day Readmission Following Hospitalization for Pneumonia",10.1002/jhm.890
WOS:000369635200017,WOS:000288372200018,"Krumholz, Harlan M.",245,2011,4,243,CIRCULATION-CARDIOVASCULAR QUALITY AND OUTCOMES,An Administrative Claims Measure Suitable for Profiling Hospital Performance Based on 30-Day All-Cause Readmission Rates Among Patients With Acute Myocardial Infarction,10.1161/CIRCOUTCOMES.110.957498
WOS:000369635200017,WOS:000285407100011,"Trivedi, Amal N.",101,2011,49,76,MEDICAL CARE,Systematic Review Comparison of the Quality of Medical Care in Veterans Affairs and Non-Veterans Affairs Settings,10.1097/MLR.0b013e3181f53575
WOS:000369635200017,WOS:000279428200013,"Ross, Joseph S.",16,2010,48,652,MEDICAL CARE,Use of Administrative Claims Models to Assess 30-Day Mortality Among Veterans Health Administration Hospitals,10.1097/MLR.0b013e3181dbe35d
WOS:000369635200017,WOS:000270296600001,"Fihn, Stephan D.",23,2009,9,,BMC CARDIOVASCULAR DISORDERS,Declining mortality following acute myocardial infarction in the Department of Veterans Affairs Health Care System,10.1186/1471-2261-9-44
WOS:000369635200017,WOS:000207504300007,"Keenan, Patricia S.",391,2008,1,29,CIRCULATION-CARDIOVASCULAR QUALITY AND OUTCOMES,An Administrative Claims Measure Suitable for Profiling Hospital Performance on the Basis of 30-Day All-Cause Readmission Rates Among Patients With Heart Failure,10.1161/CIRCOUTCOMES.108.802686
WOS:000369635200017,WOS:000258014400013,"Weeks, William B.",16,2008,46,863,MEDICAL CARE,"Comparing the characteristics, utilization, efficiency, and outcomes of VA and non-VA inpatient care provided to VA enrollees - A case study in New York",10.1097/MLR.0b013e31817d92e1
WOS:000369635200017,WOS:000242765700024,"Werner, Rachel M.",388,2006,296,2694,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,Relationship between medicare's hospital compare performance measures and mortality rates,10.1001/jama.296.22.2694
WOS:000369635200017,WOS:000236540700011,"Krumholz, HM",381,2006,113,1683,CIRCULATION,An administrative claims model suitable for profiling hospital performance based on 30-day mortality rates among patients with an acute myocardial infarction,10.1161/CIRCULATIONAHA.105.611186
WOS:000369635200017,WOS:000236540700012,"Krumholz, HM",325,2006,113,1693,CIRCULATION,An administrative claims model suitable for profiling hospital performance based on 30-day mortality rates among patients with heart failure,10.1161/CIRCULATIONAHA.105.611194
WOS:000369635200017,WOS:000236452200010,"Selim, AJ",33,2006,44,359,MEDICAL CARE,Risk-adjusted mortality as an indicator of outcomes - Comparison of the Medicare Advantage Program with the Veterans' Health Administration,10.1097/01.mlr.0000204119.27597.f1
WOS:000369635200017,WOS:000235954500011,"Borrero, S",19,2006,21,S54,JOURNAL OF GENERAL INTERNAL MEDICINE,Brief Report: Gender and total knee/hip arthroplasty utilization rate in the VA system,10.1111/j.1525-1497.2006.00375.x
WOS:000369635200017,WOS:000409763500004,"Payne, Susan M. C.",18,2005,28,125,JOURNAL OF AMBULATORY CARE MANAGEMENT,Utilization of Medical Services by Veterans Health Study (VHS) Respondents,10.1097/00004479-200504000-00004
WOS:000369635200017,WOS:000225923000005,"Asch, SM",386,2004,141,938,ANNALS OF INTERNAL MEDICINE,Comparison of quality of care for patients in the Veterans Health Administration and patients in a national sample,10.7326/0003-4819-141-12-200412210-00010
WOS:000369635200017,WOS:000226743200009,"Landrum, MB",33,2004,39,1773,HEALTH SERVICES RESEARCH,Care following acute myocardial infarction in the Veterans Administration medical centers: A comparison with medicare,10.1111/j.1475-6773.2004.00317.x
WOS:000369635200017,MEDLINE:15287215,"Rogers, William H",92,2004,27,249,The Journal of ambulatory care management,Comparing the health status of VA and non-VA ambulatory patients: the veterans' health and medical outcomes studies.,
WOS:000369635200017,WOS:000183134700009,"Jha, AK",509,2003,348,2218,NEW ENGLAND JOURNAL OF MEDICINE,Effect of the transformation of the Veterans Affairs health care system on the quality of care.,10.1056/NEJMsa021899
WOS:000369635200017,WOS:000177693900005,"Weeks, WB",30,2002,18,298,JOURNAL OF RURAL HEALTH,Primary care practice management in rural and urban veterans health administration settings,10.1111/j.1748-0361.2002.tb00890.x
WOS:000369635200017,WOS:000165456700011,"Agha, Z",560,2000,160,3252,ARCHIVES OF INTERNAL MEDICINE,Are patients at veterans affairs medical centers sicker? A comparative analysis of health status and medical resource use,10.1001/archinte.160.21.3252
WOS:000369635200017,WOS:000083697400005,"Kazis, LE",248,1999,14,28,AMERICAN JOURNAL OF MEDICAL QUALITY,Health status in VA patients: Results from the Veterans Health Study,10.1177/106286069901400105
WOS:000369635200017,WOS:A1996UM49300006,"Weinberger, M",562,1996,334,1441,NEW ENGLAND JOURNAL OF MEDICINE,Does increased access to primary care reduce hospital readmissions?,10.1056/NEJM199605303342206
WOS:000369635200017,WOS:A1990DB37100007,"HOLLOWAY, JJ",77,1990,25,213,HEALTH SERVICES RESEARCH,RISK-FACTORS FOR EARLY READMISSION AMONG VETERANS,
WOS:000369635200017,BCI201600236916.4,,3,2014,,,Utilization,,
WOS:000369635200017,000369635200017.1,,1,2014,,,AHA data and directories,,
WOS:000369635200017,000369611600027.6,,5,1000,,,Measure methodology reports: readmission measures,,
WOS:000369635200017,000369635200017.6,,1,2011,,,Geographic practice cost index values by zip code,,
WOS:000369635200017,000528596700004.27,,69,2005,,,Quality Through Collaboration: The Future of Rural Health,,
WOS:000369635200017,000369635200017.7,,1,2015,,,Population estimates: metropolitan and micropolitan statistical areas,,
WOS:000369635200017,000369635200017.9,,1,1000,,,VA hospital to home (H2H) initiative,,
WOS:000369635200017,000369635200017.2,,1,1000,,,Denominator file,,
WOS:000369635200017,000369635200017.8,,1,1000,,,Heart failure provider network,,
WOS:000426705100015,WOS:000374195400001,"Dowell, Deborah",2520,2016,65,1,MMWR RECOMMENDATIONS AND REPORTS,"CDC Guideline for Prescribing Opioids for Chronic Pain - United States, 2016",10.15585/mmwr.rr7103a1
WOS:000426705100015,MEDLINE:29241834,"Megale, Rodrigo Z",15,2018,19,,The journal of pain : official journal of the American Pain Society,"Efficacy and Safety of Oral and Transdermal Opioid Analgesics for Musculoskeletal Pain in Older Adults: A Systematic Review of Randomized, Placebo-Controlled Trials.",10.1016/j.jpain.2017.12.001
WOS:000426705100015,WOS:000414887400015,"Krebs, Erin E.",16,2017,62,130,CONTEMPORARY CLINICAL TRIALS,"Design, recruitment outcomes, and sample characteristics of the Strategies for Prescribing Analgesics Comparative Effectiveness (SPACE) trial",10.1016/j.cct.2017.09.003
WOS:000426705100015,WOS:000400858600003,"Busse, Jason W.",390,2017,189,E659,CANADIAN MEDICAL ASSOCIATION JOURNAL,Guideline for opioid therapy and chronic noncancer pain,10.1503/cmaj.170363
WOS:000426705100015,WOS:000398061100010,"Chou, Roger",229,2017,166,480,ANNALS OF INTERNAL MEDICINE,Systemic Pharmacologic Therapies for Low Back Pain: A Systematic Review for an American College of Physicians Clinical Practice Guideline,10.7326/M16-2458
WOS:000426705100015,WOS:000379039700020,"Shaheed, Christina Abdel",205,2016,176,958,JAMA INTERNAL MEDICINE,"Efficacy, Tolerability, and Dose-Dependent Effects of Opioid Analgesics for Low Back Pain A Systematic Review and Meta-analysis",10.1001/jamainternmed.2016.1251
WOS:000426705100015,WOS:000378261600012,"Turner, Judith A.",44,2016,157,849,PAIN,Association of levels of opioid use with pain and activity interference among patients initiating chronic opioid therapy: a longitudinal study,10.1097/j.pain.0000000000000452
WOS:000426705100015,WOS:000377656900019,"Ray, Wayne A.",237,2016,315,2415,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,Prescription of Long-Acting Opioids and Mortality in Patients With Chronic Noncancer Pain,10.1001/jama.2016.7789
WOS:000426705100015,WOS:000378335100017,"Finestone, Hillel M.",27,2016,62,465,CANADIAN FAMILY PHYSICIAN,Opioid prescribing is a surrogate for inadequate pain management resources,
WOS:000426705100015,WOS:000354415400001,"Loudon, Kirsty",870,2015,350,,BMJ-BRITISH MEDICAL JOURNAL,The PRECIS-2 tool: designing trials that are fit for purpose,10.1136/bmj.h2147
WOS:000426705100015,WOS:000350232500017,"Chou, Roger",1006,2015,162,276,ANNALS OF INTERNAL MEDICINE,The Effectiveness and Risks of Long-Term Opioid Therapy for Chronic Pain: A Systematic Review for a National Institutes of Health Pathways to Prevention Workshop,10.7326/M14-2559
WOS:000426705100015,WOS:000350232500019,"Reuben, David B.",116,2015,162,295,ANNALS OF INTERNAL MEDICINE,National Institutes of Health Pathways to Prevention Workshop: The Role of Opioids in the Treatment of Chronic Pain,10.7326/M14-2775
WOS:000426705100015,WOS:000338940300021,"Kroenke, Kurt",113,2014,312,240,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,Telecare Collaborative Management of Chronic Pain in Primary Care A Randomized Clinical Trial,10.1001/jama.2014.7689
WOS:000426705100015,WOS:000337158100001,"Edlund, Mark J.",300,2014,30,557,CLINICAL JOURNAL OF PAIN,The Role of Opioid Prescription in Incident Opioid Abuse and Dependence Among Individuals With Chronic Noncancer Pain The Role of Opioid Prescription,10.1097/AJP.0000000000000021
WOS:000426705100015,WOS:000317169100012,"Kroenke, Kurt",46,2013,34,270,CONTEMPORARY CLINICAL TRIALS,Stepped Care to Optimize Pain care Effectiveness (SCOPE) trial study design and sample characteristics,10.1016/j.cct.2012.11.008
WOS:000426705100015,WOS:000318566200003,"Moore, Andrew",164,2013,346,,BMJ-BRITISH MEDICAL JOURNAL,Expect analgesic failure; pursue analgesic success,10.1136/bmj.f2690
WOS:000426705100015,WOS:000301381300013,"Sullivan, Mark D.",45,2012,172,433,ARCHIVES OF INTERNAL MEDICINE,What Are We Treating With Long-term Opioid Therapy?,10.1001/archinternmed.2011.2156
WOS:000426705100015,WOS:000300169500001,"Yu, Lan",509,2012,10,6,BEHAVIORAL SLEEP MEDICINE,Development of Short Forms From the PROMIS (TM) Sleep Disturbance and Sleep-Related Impairment Item Banks,10.1080/15402002.2012.636266
WOS:000426705100015,WOS:000289162400020,"Bohnert, Amy S. B.",1063,2011,305,1315,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,Association Between Opioid Prescribing Patterns and Opioid Overdose-Related Deaths,10.1001/jama.2011.370
WOS:000426705100015,WOS:000284898500011,"Jonsson, T.",28,2011,55,69,ACTA ANAESTHESIOLOGICA SCANDINAVICA,Symptoms and side effects in chronic non-cancer pain: patient report vs. systematic assessment,10.1111/j.1399-6576.2010.02329.x
WOS:000426705100015,WOS:000285372000006,"George, Steven Z.",51,2010,11,1074,JOURNAL OF PAIN,"Preference, Expectation, and Satisfaction in a Clinical Trial of Behavioral Interventions for Acute and Sub-Acute Low Back Pain",10.1016/j.jpain.2010.02.016
WOS:000426705100015,WOS:000283490600009,"Krebs, Erin E.",117,2010,48,1007,MEDICAL CARE,Comparative Responsiveness of Pain Outcome Measures Among Primary Care Patients With Musculoskeletal Pain,10.1097/MLR.0b013e3181eaf835
WOS:000426705100015,WOS:000282984500005,"Sjogren, Per",76,2010,26,763,CLINICAL JOURNAL OF PAIN,A Population-based Cohort Study on Chronic Pain: The Role of Opioids,10.1097/AJP.0b013e3181f15daf
WOS:000426705100015,WOS:000280389800001,"Kroenke, Kurt",2211,2010,32,345,GENERAL HOSPITAL PSYCHIATRY,"The Patient Health Questionnaire Somatic, Anxiety, and Depressive Symptom Scales: a systematic review",10.1016/j.genhosppsych.2010.03.006
WOS:000426705100015,WOS:000266241300007,"Krebs, Erin E.",328,2009,24,733,JOURNAL OF GENERAL INTERNAL MEDICINE,"Development and Initial Validation of the PEG, a Three-item Scale Assessing Pain Intensity and Interference",10.1007/s11606-009-0981-1
WOS:000426705100015,WOS:000266328800022,"Kroenke, Kurt",304,2009,301,2099,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,Optimized Antidepressant Therapy and Pain Self-management in Primary Care Patients With Depression and Musculoskeletal Pain A Randomized Controlled Trial,10.1001/jama.2009.723
WOS:000426705100015,WOS:000264967600008,"Volinn, Ernest",94,2009,142,194,PAIN,Opioid therapy for nonspecific low back pain and the outcome of chronic work loss,10.1016/j.pain.2008.12.017
WOS:000426705100015,WOS:000263025600006,"Selim, Alfredo J.",342,2009,18,43,QUALITY OF LIFE RESEARCH,Updated US population standard for the Veterans RAND 12-item Health Survey (VR-12),10.1007/s11136-008-9418-2
WOS:000426705100015,WOS:000253220500002,"Dworkin, Robert H.",2074,2008,9,105,JOURNAL OF PAIN,Interpreting the clinical importance of treatment outcomes in chronic pain clinical trials: IMMPACT recommendations,10.1016/j.jpain.2007.09.005
WOS:000426705100015,WOS:000245908700010,"Linde, Klaus",399,2007,128,264,PAIN,The impact of patient expectations on outcomes in four randomized controlled trials of acupuncture in patients with chronic pain,10.1016/j.pain.2006.12.006
WOS:000426705100015,WOS:000241215600007,"Wu, Stephen M.",119,2006,32,342,JOURNAL OF PAIN AND SYMPTOM MANAGEMENT,The Addiction Behaviors Checklist: Validation of a new clinician-based measure of inappropriate opioid use in chronic pain,10.1016/j.jpainsymman.2006.05.010
WOS:000426705100015,WOS:000226455500015,"Weingart, SN",101,2005,165,234,ARCHIVES OF INTERNAL MEDICINE,Patient-reported medication symptoms in primary care.,10.1001/archinte.165.2.234
WOS:000426705100015,WOS:000223484200005,"Keller, S",794,2004,20,309,CLINICAL JOURNAL OF PAIN,Validity of the brief pain inventory for use in documenting the outcomes of patients with noncancer pain,10.1097/00002508-200409000-00005
WOS:000426705100015,WOS:000222489100003,"Stroud, MW",51,2004,5,257,JOURNAL OF PAIN,Assessment of self-reported physical activity in patients with chronic pain: Development of an abbreviated Roland-Morris Disability Scale,10.1016/j.jpain.2004.04.002
WOS:000426705100015,WOS:000167756000004,"Stewart, WF",622,2001,56,S20,NEUROLOGY,Development and testing of the Migraine Disability Assessment (MIDAS) Questionnaire to assess headache-related disability,10.1212/WNL.56.suppl_1.S20
WOS:000426705100015,WOS:000087988000010,"Fiellin, DA",436,2000,160,1977,ARCHIVES OF INTERNAL MEDICINE,Screening for alcohol problems in primary care - A systematic review,10.1001/archinte.160.13.1977
WOS:000426705100015,WOS:000084786600002,"McGahuey, CA",704,2000,26,25,JOURNAL OF SEX & MARITAL THERAPY,The Arizona Sexual Experience Scale (ASEX): Reliability and validity,10.1080/009262300278623
WOS:000426705100015,WOS:A1995QX47500009,"SMETS, EMA",2287,1995,39,315,JOURNAL OF PSYCHOSOMATIC RESEARCH,THE MULTIDIMENSIONAL FATIGUE INVENTORY (MFI) PSYCHOMETRIC QUALITIES OF AN INSTRUMENT TO ASSESS FATIGUE,10.1016/0022-3999(94)00125-O
WOS:000426705100015,000853721400007.256,,13,1000,,,Resource guide: screening for drug use in general medical settings,,
WOS:000426705100015,000407196700062.2,,113,1000,,,The use of the WHO-UMC system for standardised case causality assessment,,
WOS:000426705100015,000749839300009.17,,2,1000,,,Management of opioid therapy for chronic pain,,
WOS:000575124400003,MEDLINE:33184277,"Griffith, Gareth J",133,2020,11,5749,Nature communications,Collider bias undermines our understanding of COVID-19 disease risk and severity.,10.1038/s41467-020-19478-2
WOS:000575124400003,WOS:000531373700023,"Grasselli, Giacomo",1834,2020,323,1574,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"Baseline Characteristics and Outcomes of 1591 Patients Infected With SARS-CoV-2 Admitted to ICUs of the Lombardy Region, Italy",10.1001/jama.2020.5394
WOS:000575124400003,WOS:000556238700001,"Williamson, Elizabeth J.",3068,2020,584,430,NATURE,Factors associated with COVID-19-related death using OpenSAFELY,10.1038/s41586-020-2521-4
WOS:000575124400003,WOS:000536001600005,"Chow, Nancy",968,2020,69,382,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,"Preliminary Estimates of the Prevalence of Selected Underlying Health Conditions Among Patients with Coronavirus Disease 2019-United States, February 12-March 28, 2020",10.15585/mmwr.mm6913e2
WOS:000575124400003,WOS:000601303400008,"Rodriguez-Diaz, Carlos E.",179,2020,52,46,ANNALS OF EPIDEMIOLOGY,Risk for COVID-19 infection and death among Latinos in the United States: examining heterogeneity in transmission dynamics,10.1016/j.annepidem.2020.07.007
WOS:000575124400003,WOS:000590149400011,"Webb Hooper, Monica",1200,2020,323,2466,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,COVID-19 and Racial/Ethnic Disparities,10.1001/jama.2020.8598
WOS:000575124400003,WOS:000531184400005,"Khunti, Kamlesh",299,2020,369,,BMJ-BRITISH MEDICAL JOURNAL,Is ethnicity linked to incidence or outcomes of covid-19? Preliminary signals must be explored urgently,10.1136/bmj.m1548
WOS:000575124400003,WOS:000561427600003,"Vahidy, Farhaan S.",126,2020,10,,BMJ OPEN,Racial and ethnic disparities in SARS-CoV-2 pandemic: analysis of a COVID-19 observational registry for a diverse US metropolitan population,10.1136/bmjopen-2020-039849
WOS:000575124400003,WOS:000549924100008,"Fisher, Kiva A.",70,2020,69,933,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,"Factors Associated with Cloth Face Covering Use Among Adults During the COVID-19 Pandemic - United States, April and May 2020",10.15585/mmwr.mm6928e3
WOS:000575124400003,WOS:000545636400024,"Price-Haywood, Eboni G.",978,2020,382,2534,NEW ENGLAND JOURNAL OF MEDICINE,Hospitalization and Mortality among Black Patients and White Patients with Covid-19,10.1056/NEJMsa2011686
WOS:000575124400003,WOS:000536004100005,"Garg, Shikha",1475,2020,69,458,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,"Hospitalization Rates and Characteristics of Patients Hospitalized with Laboratory-Confirmed Coronavirus Disease 2019-COVID-NET, 14 States, March 1-30, 2020",10.15585/mmwr.mm6915e3
WOS:000575124400003,WOS:000536856000016,"Bhatraju, Pavan K.",1605,2020,382,2012,NEW ENGLAND JOURNAL OF MEDICINE,Covid-19 in Critically Ill Patients in the Seattle Region - Case Series,10.1056/NEJMoa2004500
WOS:000575124400003,WOS:000533530700018,"Pareek, Manish",244,2020,395,1421,LANCET,Ethnicity and COVID-19: an urgent public health research priority,10.1016/S0140-6736(20)30922-3
WOS:000575124400003,WOS:000522650100033,"Zhou, Fei",15315,2020,395,1054,LANCET,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",10.1016/S0140-6736(20)30566-3
WOS:000575124400003,WOS:000440247400001,"Peterson, Kim",59,2018,108,E1,AMERICAN JOURNAL OF PUBLIC HEALTH,Mortality Disparities in Racial/Ethnic Minority Groups in the Veterans Health Administration: An Evidence Review and Map,10.2105/AJPH.2017.304246
WOS:000575124400003,WOS:000310713100004,"Hoerster, Katherine D.",264,2012,43,483,AMERICAN JOURNAL OF PREVENTIVE MEDICINE,"Health and Health Behavior Differences US Military, Veteran, and Civilian Men",10.1016/j.amepre.2012.07.029
WOS:000575124400003,WOS:000302963300012,"Lehavot, Keren",176,2012,42,473,AMERICAN JOURNAL OF PREVENTIVE MEDICINE,"Health Indicators for Military, Veteran, and Civilian Women",10.1016/j.amepre.2012.01.006
WOS:000575124400003,WOS:000297376400009,"McGinnis, Kathleen A.",165,2011,13,1233,NICOTINE & TOBACCO RESEARCH,"Validating Smoking Data From the Veteran's Affairs Health Factors Dataset, an Electronic Data Source",10.1093/ntr/ntr206
WOS:000575124400003,WOS:000282379400002,"Abrams, Thad E.",25,2010,26,310,JOURNAL OF RURAL HEALTH,Mortality and Revascularization Following Admission for Acute Myocardial Infarction: Implication for Rural Veterans,10.1111/j.1748-0361.2010.00318.x
WOS:000575124400003,WOS:000271218800010,"Hutchins, Sonja S.",125,2009,99,S261,AMERICAN JOURNAL OF PUBLIC HEALTH,Protection of Racial/Ethnic Minority Populations During an Influenza Pandemic,10.2105/AJPH.2009.161505
WOS:000575124400003,WOS:000087988000010,"Fiellin, DA",436,2000,160,1977,ARCHIVES OF INTERNAL MEDICINE,Screening for alcohol problems in primary care - A systematic review,10.1001/archinte.160.13.1977
WOS:000575124400003,WOS:000080736000005,"Fothergill, A",409,1999,23,156,DISASTERS,"Race, ethnicity and disasters in the United States: A review of the literature",10.1111/1467-7717.00111
WOS:000575124400003,000575124400003.3,,1,2020,,,Latest data,,
